"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","262","testFindByIdsNoneFound()","Structures Core","Thu Jun 04 02:38:28 UTC 2026","passed","Thu Jun 04 02:38:28 UTC 2026","","org.kinotic.structures.tests.core.entity.EntityCrudTests","org.kinotic.structures.tests.core.entity.EntityCrudTests","testFindByIdsNoneFound"
"","736","Test Cursor Based Paging With Iterator No Data","End To End Tests","Thu Jun 04 02:44:16 UTC 2026","passed","Thu Jun 04 02:44:17 UTC 2026","EntityService Tests","Typescript Client","",""
"","7","testValidBearerHeaderWithInvalidToken()","Structures Core","Thu Jun 04 02:38:00 UTC 2026","passed","Thu Jun 04 02:38:00 UTC 2026","","org.kinotic.structures.tests.auth.OidcAuthVerifierTest","org.kinotic.structures.tests.auth.OidcAuthVerifierTest","testValidBearerHeaderWithInvalidToken"
"","95","testUnauthorizedClientWithAdminUserFails()","Structures Core","Thu Jun 04 02:38:06 UTC 2026","passed","Thu Jun 04 02:38:06 UTC 2026","","org.kinotic.structures.tests.auth.UnauthorizedProviderAccessControlTest","org.kinotic.structures.tests.auth.UnauthorizedProviderAccessControlTest","testUnauthorizedClientWithAdminUserFails"
"","1002","whenCreateTableMigration_thenTableCreated()","Structures Core","Thu Jun 04 02:38:47 UTC 2026","passed","Thu Jun 04 02:38:48 UTC 2026","","org.kinotic.structures.tests.sql.MigrationExecutorIntegrationTest","org.kinotic.structures.tests.sql.MigrationExecutorIntegrationTest","whenCreateTableMigration_thenTableCreated"
"","2013","whenAlterTable_thenColumnAdded()","Structures Core","Thu Jun 04 02:39:03 UTC 2026","passed","Thu Jun 04 02:39:05 UTC 2026","","org.kinotic.structures.tests.sql.MigrationExecutorIntegrationTest","org.kinotic.structures.tests.sql.MigrationExecutorIntegrationTest","whenAlterTable_thenColumnAdded"
"","1","testAuthorizeDeniedWithEntityOnlyPolicies()","Structures Core","Thu Jun 04 02:38:32 UTC 2026","passed","Thu Jun 04 02:38:32 UTC 2026","","org.kinotic.structures.tests.core.security.graphos.PolicyAuthorizationServiceTest","org.kinotic.structures.tests.core.security.graphos.PolicyAuthorizationServiceTest","testAuthorizeDeniedWithEntityOnlyPolicies"
"","69","testValidAudienceWithInsufficientRoles()","Structures Core","Thu Jun 04 02:37:54 UTC 2026","passed","Thu Jun 04 02:37:55 UTC 2026","","org.kinotic.structures.tests.auth.AdminProviderAccessControlTest","org.kinotic.structures.tests.auth.AdminProviderAccessControlTest","testValidAudienceWithInsufficientRoles"
"","3067","testValidAudienceWithNoRoles()","Structures Core","Thu Jun 04 02:37:47 UTC 2026","passed","Thu Jun 04 02:37:50 UTC 2026","","org.kinotic.structures.tests.auth.AccessControlTest","org.kinotic.structures.tests.auth.AccessControlTest","testValidAudienceWithNoRoles"
"","674","Aggregate Pageable Test","End To End Tests","Thu Jun 04 02:44:23 UTC 2026","passed","Thu Jun 04 02:44:24 UTC 2026","Named Query Tests","Typescript Client","",""
"","384","OpenApi Schema loads","End To End Tests","Thu Jun 04 02:44:05 UTC 2026","passed","Thu Jun 04 02:44:05 UTC 2026","","OpenAPI Client","",""
"","6","whenBuildingRangeQuery_thenCorrectQueryBuilt()","Structures Core","Thu Jun 04 02:39:10 UTC 2026","passed","Thu Jun 04 02:39:10 UTC 2026","","org.kinotic.structures.tests.sql.executor.QueryBuilderTest","org.kinotic.structures.tests.sql.executor.QueryBuilderTest","whenBuildingRangeQuery_thenCorrectQueryBuilt"
"","427","testSearch()","Structures Core","Thu Jun 04 02:38:30 UTC 2026","passed","Thu Jun 04 02:38:30 UTC 2026","","org.kinotic.structures.tests.core.entity.EntityCrudTests","org.kinotic.structures.tests.core.entity.EntityCrudTests","testSearch"
"","6532","Test Basic Stream Write and Search","End To End Tests","Thu Jun 04 02:44:09 UTC 2026","passed","Thu Jun 04 02:44:15 UTC 2026","Data Stream Tests","Typescript Client","",""
