"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","whenUsingParameterizedQueryWithMissingParameter_thenExceptionThrown()","Structures Core","2026-09-11","passed","2026-09-11","","org.kinotic.structures.tests.sql.executor.QueryBuilderTest","org.kinotic.structures.tests.sql.executor.QueryBuilderTest","whenUsingParameterizedQueryWithMissingParameter_thenExceptionThrown"
"","779","Test Offset Based Paging With Iterator No Data","End To End Tests","2026-09-11","passed","2026-09-11","EntityService Tests","Typescript Client","",""
"","1","testPolicyEvaluatorWithSuccessfulOperations()","Structures Core","2026-09-11","passed","2026-09-11","","org.kinotic.structures.tests.core.security.graphos.PolicyEvaluatorTests","org.kinotic.structures.tests.core.security.graphos.PolicyEvaluatorTests","testPolicyEvaluatorWithSuccessfulOperations"
"","6","testExtractValueFromPath_ListPath()","Structures Core","2026-09-11","passed","2026-09-11","","org.kinotic.structures.tests.auth.OidcSecurityServiceTest","org.kinotic.structures.tests.auth.OidcSecurityServiceTest","testExtractValueFromPath_ListPath"
"","648","OpenApi Schema loads","End To End Tests","2026-09-11","passed","2026-09-11","","OpenAPI Client","",""
"","705","Test Offset Based Paging With Iterator Uneven Pages","End To End Tests","2026-09-11","passed","2026-09-11","EntityService Tests","Typescript Client","",""
"","110","Can get person by ID","End To End Tests","2026-09-11","passed","2026-09-11","PersonWithTenant CRUD Operations","OpenAPI Client","",""
"","8117","Test Basic CRUD","End To End Tests","2026-09-11","passed","2026-09-11","Admin EntityService Tests","Typescript Client","",""
"","2265","createPublishAndDeleteStructure()","Structures Core","2026-09-11","passed","2026-09-11","","org.kinotic.structures.tests.core.structure.StructureCrudTests","org.kinotic.structures.tests.core.structure.StructureCrudTests","createPublishAndDeleteStructure"
"","1080","testValidAudienceWithNoRoles()","Structures Core","2026-09-11","passed","2026-09-11","","org.kinotic.structures.tests.auth.AdminProviderAccessControlTest","org.kinotic.structures.tests.auth.AdminProviderAccessControlTest","testValidAudienceWithNoRoles"
"","963","Test Offset Based Paging With Iterator","End To End Tests","2026-09-11","passed","2026-09-11","EntityService Tests","Typescript Client","",""
"","540","bulkSaveObjectWithMultipleIds()","Structures Core","2026-09-11","passed","2026-09-11","","org.kinotic.structures.tests.core.entity.BulkUpdateTests","org.kinotic.structures.tests.core.entity.BulkUpdateTests","bulkSaveObjectWithMultipleIds"
"","1","whenBuildingSimpleTermQuery_thenCorrectQueryBuilt()","Structures Core","2026-09-11","passed","2026-09-11","","org.kinotic.structures.tests.sql.executor.QueryBuilderTest","org.kinotic.structures.tests.sql.executor.QueryBuilderTest","whenBuildingSimpleTermQuery_thenCorrectQueryBuilt"
"","81","testValidAudienceWithPowerUserRole()","Structures Core","2026-09-11","passed","2026-09-11","","org.kinotic.structures.tests.auth.AccessControlTest","org.kinotic.structures.tests.auth.AccessControlTest","testValidAudienceWithPowerUserRole"
"","952","Test Stream Pagination","End To End Tests","2026-09-11","passed","2026-09-11","Data Stream Tests","Typescript Client","",""
