"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","testAuthorizeReadOperationWithNoFieldPolicies()","Structures Core","Thu Jun 04 01:39:34 UTC 2026","passed","Thu Jun 04 01:39:34 UTC 2026","","org.kinotic.structures.tests.core.security.graphos.PolicyAuthorizationServiceTest","org.kinotic.structures.tests.core.security.graphos.PolicyAuthorizationServiceTest","testAuthorizeReadOperationWithNoFieldPolicies"
"","3","testPolicyEvaluatorWithoutOperations()","Structures Core","Thu Jun 04 01:39:34 UTC 2026","passed","Thu Jun 04 01:39:34 UTC 2026","","org.kinotic.structures.tests.core.security.graphos.PolicyEvaluatorTests","org.kinotic.structures.tests.core.security.graphos.PolicyEvaluatorTests","testPolicyEvaluatorWithoutOperations"
"","1","testPolicyEvaluatorWithMissingDomainPolicy()","Structures Core","Thu Jun 04 01:39:34 UTC 2026","passed","Thu Jun 04 01:39:34 UTC 2026","","org.kinotic.structures.tests.core.security.graphos.PolicyEvaluatorTests","org.kinotic.structures.tests.core.security.graphos.PolicyEvaluatorTests","testPolicyEvaluatorWithMissingDomainPolicy"
"","6008","whenReindex_thenDataReindexed()","Structures Core","Thu Jun 04 01:39:52 UTC 2026","passed","Thu Jun 04 01:39:58 UTC 2026","","org.kinotic.structures.tests.sql.MigrationExecutorIntegrationTest","org.kinotic.structures.tests.sql.MigrationExecutorIntegrationTest","whenReindex_thenDataReindexed"
"","16","createStructureInvalidField()","Structures Core","Thu Jun 04 01:39:37 UTC 2026","passed","Thu Jun 04 01:39:37 UTC 2026","","org.kinotic.structures.tests.core.structure.StructureCrudTests","org.kinotic.structures.tests.core.structure.StructureCrudTests","createStructureInvalidField"
"","14","Test Basic Stream Write and Search","End To End Tests","Thu Jun 04 01:45:12 UTC 2026","broken","Thu Jun 04 01:45:12 UTC 2026","Data Stream Tests","Typescript Client","",""
"","1091","testUnauthorizedClientAlwaysFails()","Structures Core","Thu Jun 04 01:39:04 UTC 2026","passed","Thu Jun 04 01:39:05 UTC 2026","","org.kinotic.structures.tests.auth.UnauthorizedProviderAccessControlTest","org.kinotic.structures.tests.auth.UnauthorizedProviderAccessControlTest","testUnauthorizedClientAlwaysFails"
"","496","testFindAll()","Structures Core","Thu Jun 04 01:39:28 UTC 2026","passed","Thu Jun 04 01:39:28 UTC 2026","","org.kinotic.structures.tests.core.entity.EntityCrudTests","org.kinotic.structures.tests.core.entity.EntityCrudTests","testFindAll"
"","4","testExtractValueFromPath_NestedPath()","Structures Core","Thu Jun 04 01:39:03 UTC 2026","passed","Thu Jun 04 01:39:03 UTC 2026","","org.kinotic.structures.tests.auth.OidcSecurityServiceTest","org.kinotic.structures.tests.auth.OidcSecurityServiceTest","testExtractValueFromPath_NestedPath"
"","0","Can get person by ID","End To End Tests","Thu Jun 04 01:45:16 UTC 2026","skipped","Thu Jun 04 01:45:16 UTC 2026","PersonWithTenant CRUD Operations","OpenAPI Client","",""
"","61","tryOperationOnNotPublishedStructure()","Structures Core","Thu Jun 04 01:39:37 UTC 2026","passed","Thu Jun 04 01:39:37 UTC 2026","","org.kinotic.structures.tests.core.structure.StructureCrudTests","org.kinotic.structures.tests.core.structure.StructureCrudTests","tryOperationOnNotPublishedStructure"
"","0","Can create a person","End To End Tests","Thu Jun 04 01:45:16 UTC 2026","skipped","Thu Jun 04 01:45:16 UTC 2026","PersonWithTenant CRUD Operations","OpenAPI Client","",""
"","5","testExtractValueFromPath_SimplePath()","Structures Core","Thu Jun 04 01:39:03 UTC 2026","passed","Thu Jun 04 01:39:03 UTC 2026","","org.kinotic.structures.tests.auth.OidcSecurityServiceTest","org.kinotic.structures.tests.auth.OidcSecurityServiceTest","testExtractValueFromPath_SimplePath"
"","1003","whenCreateTableMigration_thenTableCreated()","Structures Core","Thu Jun 04 01:39:48 UTC 2026","passed","Thu Jun 04 01:39:49 UTC 2026","","org.kinotic.structures.tests.sql.MigrationExecutorIntegrationTest","org.kinotic.structures.tests.sql.MigrationExecutorIntegrationTest","whenCreateTableMigration_thenTableCreated"
"","1","Test Delete By Query","End To End Tests","Thu Jun 04 01:45:12 UTC 2026","broken","Thu Jun 04 01:45:12 UTC 2026","Data Stream Tests","Typescript Client","",""
