"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","341","Can bulk save people across multiple tenants and retrieve them selectively","End To End Tests","2026-09-14","passed","2026-09-14","Multitenant Selection Operations","OpenAPI Client","",""
"","1","whenBuildingOrClause_thenCorrectQueryBuilt()","Structures Core","2026-09-14","passed","2026-09-14","","org.kinotic.structures.tests.sql.executor.QueryBuilderTest","org.kinotic.structures.tests.sql.executor.QueryBuilderTest","whenBuildingOrClause_thenCorrectQueryBuilt"
"","2027","Test FindByIds","End To End Tests","2026-09-14","passed","2026-09-14","EntityService Tests","Typescript Client","",""
"","6","testCaseInsensitiveAuthorizationHeader()","Structures Core","2026-09-14","passed","2026-09-14","","org.kinotic.structures.tests.auth.OidcAuthVerifierTest","org.kinotic.structures.tests.auth.OidcAuthVerifierTest","testCaseInsensitiveAuthorizationHeader"
"","388","bulkSaveObjectWithMultipleIds()","Structures Core","2026-09-14","passed","2026-09-14","","org.kinotic.structures.tests.core.entity.BulkUpdateTests","org.kinotic.structures.tests.core.entity.BulkUpdateTests","bulkSaveObjectWithMultipleIds"
"","0","whenBuildingSimpleTermQuery_thenCorrectQueryBuilt()","Structures Core","2026-09-14","passed","2026-09-14","","org.kinotic.structures.tests.sql.executor.QueryBuilderTest","org.kinotic.structures.tests.sql.executor.QueryBuilderTest","whenBuildingSimpleTermQuery_thenCorrectQueryBuilt"
"","945","Test Bulk Stream Write","End To End Tests","2026-09-14","passed","2026-09-14","Data Stream Tests","Typescript Client","",""
"","8","whenDuplicateVersionNumber_thenExceptionThrown()","Structures Core","2026-09-14","passed","2026-09-14","","org.kinotic.structures.tests.sql.MigrationExecutorIntegrationTest","org.kinotic.structures.tests.sql.MigrationExecutorIntegrationTest","whenDuplicateVersionNumber_thenExceptionThrown"
"","6321","Aggregate With Parameter and Tenant Selection Test","End To End Tests","2026-09-14","passed","2026-09-14","Admin Named Query Tests","Typescript Client","",""
"","67","testValidAudienceWithPowerUserRole()","Structures Core","2026-09-14","passed","2026-09-14","","org.kinotic.structures.tests.auth.AdminProviderAccessControlTest","org.kinotic.structures.tests.auth.AdminProviderAccessControlTest","testValidAudienceWithPowerUserRole"
"","913","Test Offset Based Paging With Iterator No Data","End To End Tests","2026-09-14","passed","2026-09-14","EntityService Tests","Typescript Client","",""
"","458","Test Save Multiple","End To End Tests","2026-09-14","passed","2026-09-14","Named Query Tests","Typescript Client","",""
"","1006","whenCreateTableMigration_thenTableCreated()","Structures Core","2026-09-14","passed","2026-09-14","","org.kinotic.structures.tests.sql.MigrationExecutorIntegrationTest","org.kinotic.structures.tests.sql.MigrationExecutorIntegrationTest","whenCreateTableMigration_thenTableCreated"
"","1102","testValidAudienceWithNoRoles()","Structures Core","2026-09-14","passed","2026-09-14","","org.kinotic.structures.tests.auth.AdminProviderAccessControlTest","org.kinotic.structures.tests.auth.AdminProviderAccessControlTest","testValidAudienceWithNoRoles"
"","14","testFrontendConfigurationEndpoint_ResponseHeaders()","Structures Core","2026-09-14","passed","2026-09-14","","org.kinotic.structures.tests.frontend.FrontendConfigurationIntegrationTest","org.kinotic.structures.tests.frontend.FrontendConfigurationIntegrationTest","testFrontendConfigurationEndpoint_ResponseHeaders"
