"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1469","Test CountByQuery","End To End Tests","Tue Jun 09 16:43:14 UTC 2026","passed","Tue Jun 09 16:43:16 UTC 2026","Admin EntityService Tests","Typescript Client","",""
"","3","testInvalidAuthorizationHeaderExceptionDetails()","Structures Core","Tue Jun 09 16:02:18 UTC 2026","passed","Tue Jun 09 16:02:18 UTC 2026","","org.kinotic.structures.tests.auth.OidcAuthVerifierTest","org.kinotic.structures.tests.auth.OidcAuthVerifierTest","testInvalidAuthorizationHeaderExceptionDetails"
"","5363","whenReindexWithScript_thenDataTransformed()","Structures Core","Tue Jun 09 16:03:01 UTC 2026","passed","Tue Jun 09 16:03:06 UTC 2026","","org.kinotic.structures.tests.sql.MigrationExecutorIntegrationTest","org.kinotic.structures.tests.sql.MigrationExecutorIntegrationTest","whenReindexWithScript_thenDataTransformed"
"","1095","testUnauthorizedClientAlwaysFails()","Structures Core","Tue Jun 09 16:02:22 UTC 2026","passed","Tue Jun 09 16:02:23 UTC 2026","","org.kinotic.structures.tests.auth.UnauthorizedProviderAccessControlTest","org.kinotic.structures.tests.auth.UnauthorizedProviderAccessControlTest","testUnauthorizedClientAlwaysFails"
"","1","whenUsingParameterizedQuery_thenParameterSubstituted()","Structures Core","Tue Jun 09 16:03:30 UTC 2026","passed","Tue Jun 09 16:03:30 UTC 2026","","org.kinotic.structures.tests.sql.executor.QueryBuilderTest","org.kinotic.structures.tests.sql.executor.QueryBuilderTest","whenUsingParameterizedQuery_thenParameterSubstituted"
"","3","testNonBearerAuthorizationHeader()","Structures Core","Tue Jun 09 16:02:18 UTC 2026","passed","Tue Jun 09 16:02:18 UTC 2026","","org.kinotic.structures.tests.auth.OidcAuthVerifierTest","org.kinotic.structures.tests.auth.OidcAuthVerifierTest","testNonBearerAuthorizationHeader"
"","23","OpenApi Schema loads","End To End Tests","Tue Jun 09 16:43:40 UTC 2026","passed","Tue Jun 09 16:43:40 UTC 2026","","","",""
"","0","testAuthorizeReadOperationWithNoFieldPolicies()","Structures Core","Tue Jun 09 16:02:52 UTC 2026","passed","Tue Jun 09 16:02:52 UTC 2026","","org.kinotic.structures.tests.core.security.graphos.PolicyAuthorizationServiceTest","org.kinotic.structures.tests.core.security.graphos.PolicyAuthorizationServiceTest","testAuthorizeReadOperationWithNoFieldPolicies"
"","1805","Test CountByQuery and DeleteByQuery","End To End Tests","Tue Jun 09 16:43:16 UTC 2026","passed","Tue Jun 09 16:43:17 UTC 2026","Admin EntityService Tests","Typescript Client","",""
"","96","testValidAudienceWithPowerUserRole()","Structures Core","Tue Jun 09 16:02:07 UTC 2026","passed","Tue Jun 09 16:02:07 UTC 2026","","org.kinotic.structures.tests.auth.AccessControlTest","org.kinotic.structures.tests.auth.AccessControlTest","testValidAudienceWithPowerUserRole"
"","4","testAuthorizeReadFailsDueToFieldPolicy()","Structures Core","Tue Jun 09 16:02:52 UTC 2026","passed","Tue Jun 09 16:02:52 UTC 2026","","org.kinotic.structures.tests.core.security.graphos.PolicyAuthorizationServiceTest","org.kinotic.structures.tests.core.security.graphos.PolicyAuthorizationServiceTest","testAuthorizeReadFailsDueToFieldPolicy"
"","1","testAuthorizeWithEntityOnlyPolicies()","Structures Core","Tue Jun 09 16:02:52 UTC 2026","passed","Tue Jun 09 16:02:52 UTC 2026","","org.kinotic.structures.tests.core.security.graphos.PolicyAuthorizationServiceTest","org.kinotic.structures.tests.core.security.graphos.PolicyAuthorizationServiceTest","testAuthorizeWithEntityOnlyPolicies"
