"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8","whenBuildingRangeQuery_thenCorrectQueryBuilt()","Structures Core","2026-09-14","passed","2026-09-14","","org.kinotic.structures.tests.sql.executor.QueryBuilderTest","org.kinotic.structures.tests.sql.executor.QueryBuilderTest","whenBuildingRangeQuery_thenCorrectQueryBuilt"
"","1082","Test Alert Schema Evolution - Add Field (Non-Breaking)","End To End Tests","2026-09-14","passed","2026-09-14","Data Stream Tests","Typescript Client","",""
"","599","Test Optimistic Locking","End To End Tests","2026-09-14","passed","2026-09-14","Versioned Tests","Typescript Client","",""
"","4917","Aggregate With Parameter and Tenant Selection Test","End To End Tests","2026-09-14","passed","2026-09-14","Admin Named Query Tests","Typescript Client","",""
"","32","fieldValueOfAnyKindRoundTrips()","Structures Core","2026-09-14","passed","2026-09-14","","org.kinotic.structures.tests.core.idl.IdlJacksonInteropTest","org.kinotic.structures.tests.core.idl.IdlJacksonInteropTest","fieldValueOfAnyKindRoundTrips"
"","3","testExtractValueFromPath_SimplePath()","Structures Core","2026-09-14","passed","2026-09-14","","org.kinotic.structures.tests.auth.OidcSecurityServiceTest","org.kinotic.structures.tests.auth.OidcSecurityServiceTest","testExtractValueFromPath_SimplePath"
"","6","testAuthorizeWithNoPoliciesOnStructure()","Structures Core","2026-09-14","passed","2026-09-14","","org.kinotic.structures.tests.core.security.graphos.PolicyAuthorizationServiceTest","org.kinotic.structures.tests.core.security.graphos.PolicyAuthorizationServiceTest","testAuthorizeWithNoPoliciesOnStructure"
"","7","whenDuplicateVersionNumber_thenExceptionThrown()","Structures Core","2026-09-14","passed","2026-09-14","","org.kinotic.structures.tests.sql.MigrationExecutorIntegrationTest","org.kinotic.structures.tests.sql.MigrationExecutorIntegrationTest","whenDuplicateVersionNumber_thenExceptionThrown"
"","569","Test Bulk CRUD","End To End Tests","2026-09-14","passed","2026-09-14","EntityService Tests","Typescript Client","",""
"","1","testAuthorizeReadOperationWithNoFieldPolicies()","Structures Core","2026-09-14","passed","2026-09-14","","org.kinotic.structures.tests.core.security.graphos.PolicyAuthorizationServiceTest","org.kinotic.structures.tests.core.security.graphos.PolicyAuthorizationServiceTest","testAuthorizeReadOperationWithNoFieldPolicies"
"","1064","testUnauthorizedClientAlwaysFails()","Structures Core","2026-09-14","passed","2026-09-14","","org.kinotic.structures.tests.auth.UnauthorizedProviderAccessControlTest","org.kinotic.structures.tests.auth.UnauthorizedProviderAccessControlTest","testUnauthorizedClientAlwaysFails"
"","431","testFindAll()","Structures Core","2026-09-14","passed","2026-09-14","","org.kinotic.structures.tests.core.entity.EntityCrudTests","org.kinotic.structures.tests.core.entity.EntityCrudTests","testFindAll"
"","167","tryOperationsOnPublishedStructure()","Structures Core","2026-09-14","passed","2026-09-14","","org.kinotic.structures.tests.core.structure.StructureCrudTests","org.kinotic.structures.tests.core.structure.StructureCrudTests","tryOperationsOnPublishedStructure"
"","713","bulkUpdateObjectWithMultipleIds()","Structures Core","2026-09-14","passed","2026-09-14","","org.kinotic.structures.tests.core.entity.BulkUpdateTests","org.kinotic.structures.tests.core.entity.BulkUpdateTests","bulkUpdateObjectWithMultipleIds"
"","5237","Test Basic CRUD","End To End Tests","2026-09-14","passed","2026-09-14","EntityService Tests","Typescript Client","",""
