"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","testPolicyEvaluatorWithSuccessfulLastName()","Structures Core","Thu Jun 04 16:06:32 UTC 2026","passed","Thu Jun 04 16:06:32 UTC 2026","","org.kinotic.structures.tests.core.security.graphos.PolicyEvaluatorTests","org.kinotic.structures.tests.core.security.graphos.PolicyEvaluatorTests","testPolicyEvaluatorWithSuccessfulLastName"
"","2010","whenAlterTable_thenColumnAdded()","Structures Core","Thu Jun 04 16:07:02 UTC 2026","passed","Thu Jun 04 16:07:04 UTC 2026","","org.kinotic.structures.tests.sql.MigrationExecutorIntegrationTest","org.kinotic.structures.tests.sql.MigrationExecutorIntegrationTest","whenAlterTable_thenColumnAdded"
"","189","Can count people across specific tenants","End To End Tests","Thu Jun 04 17:24:04 UTC 2026","passed","Thu Jun 04 17:24:04 UTC 2026","Multitenant Selection Operations","OpenAPI Client","",""
"","2397","Test FindByIds","End To End Tests","Thu Jun 04 17:24:04 UTC 2026","passed","Thu Jun 04 17:24:07 UTC 2026","Admin EntityService Tests","Typescript Client","",""
"","9012","testMultiTenantSearch()","Structures Core","Thu Jun 04 16:06:16 UTC 2026","passed","Thu Jun 04 16:06:25 UTC 2026","","org.kinotic.structures.tests.core.entity.EntityCrudTests","org.kinotic.structures.tests.core.entity.EntityCrudTests","testMultiTenantSearch"
"","570","Test Offset Based Paging With Iterator No Data","End To End Tests","Thu Jun 04 17:24:17 UTC 2026","passed","Thu Jun 04 17:24:18 UTC 2026","EntityService Tests","Typescript Client","",""
"","1","whenBuildingAndClause_thenCorrectQueryBuilt()","Structures Core","Thu Jun 04 16:07:09 UTC 2026","passed","Thu Jun 04 16:07:09 UTC 2026","","org.kinotic.structures.tests.sql.executor.QueryBuilderTest","org.kinotic.structures.tests.sql.executor.QueryBuilderTest","whenBuildingAndClause_thenCorrectQueryBuilt"
"","46","createStructureWithSameNameError()","Structures Core","Thu Jun 04 16:06:35 UTC 2026","passed","Thu Jun 04 16:06:35 UTC 2026","","org.kinotic.structures.tests.core.structure.StructureCrudTests","org.kinotic.structures.tests.core.structure.StructureCrudTests","createStructureWithSameNameError"
"","901","Test Delete By Query","End To End Tests","Thu Jun 04 17:24:17 UTC 2026","passed","Thu Jun 04 17:24:17 UTC 2026","Data Stream Tests","Typescript Client","",""
"","1001","Test Cursor Based Paging With Iterator","End To End Tests","Thu Jun 04 17:24:12 UTC 2026","passed","Thu Jun 04 17:24:13 UTC 2026","EntityService Tests","Typescript Client","",""
"","0","whenBuildingSimpleTermQuery_thenCorrectQueryBuilt()","Structures Core","Thu Jun 04 16:07:09 UTC 2026","passed","Thu Jun 04 16:07:09 UTC 2026","","org.kinotic.structures.tests.sql.executor.QueryBuilderTest","org.kinotic.structures.tests.sql.executor.QueryBuilderTest","whenBuildingSimpleTermQuery_thenCorrectQueryBuilt"
"","9","testValidBearerHeaderWithInvalidToken()","Structures Core","Thu Jun 04 16:05:57 UTC 2026","passed","Thu Jun 04 16:05:57 UTC 2026","","org.kinotic.structures.tests.auth.OidcAuthVerifierTest","org.kinotic.structures.tests.auth.OidcAuthVerifierTest","testValidBearerHeaderWithInvalidToken"
"","550","Test Save Multiple","End To End Tests","Thu Jun 04 17:24:21 UTC 2026","passed","Thu Jun 04 17:24:22 UTC 2026","Named Query Tests","Typescript Client","",""
"","875","Test Bulk Stream Write","End To End Tests","Thu Jun 04 17:24:14 UTC 2026","passed","Thu Jun 04 17:24:14 UTC 2026","Data Stream Tests","Typescript Client","",""
"","6019","Aggregate Test","End To End Tests","Thu Jun 04 17:24:14 UTC 2026","passed","Thu Jun 04 17:24:20 UTC 2026","Named Query Tests","Typescript Client","",""
"","763","Aggregate With Parameter Test","End To End Tests","Thu Jun 04 17:24:20 UTC 2026","passed","Thu Jun 04 17:24:20 UTC 2026","Named Query Tests","Typescript Client","",""
"","5749","Test Basic CRUD","End To End Tests","Thu Jun 04 17:24:20 UTC 2026","passed","Thu Jun 04 17:24:26 UTC 2026","Versioned Tests","Typescript Client","",""
"","3","testNonBearerAuthorizationHeaderExceptionDetails()","Structures Core","Thu Jun 04 16:05:57 UTC 2026","passed","Thu Jun 04 16:05:58 UTC 2026","","org.kinotic.structures.tests.auth.OidcAuthVerifierTest","org.kinotic.structures.tests.auth.OidcAuthVerifierTest","testNonBearerAuthorizationHeaderExceptionDetails"
"","66","testValidAudienceWithInsufficientRoles()","Structures Core","Thu Jun 04 16:05:52 UTC 2026","passed","Thu Jun 04 16:05:52 UTC 2026","","org.kinotic.structures.tests.auth.AdminProviderAccessControlTest","org.kinotic.structures.tests.auth.AdminProviderAccessControlTest","testValidAudienceWithInsufficientRoles"
"","2010","whenCreateTableIfNotExists_thenNoErrorOnSecondCreate()","Structures Core","Thu Jun 04 16:06:56 UTC 2026","passed","Thu Jun 04 16:06:58 UTC 2026","","org.kinotic.structures.tests.sql.MigrationExecutorIntegrationTest","org.kinotic.structures.tests.sql.MigrationExecutorIntegrationTest","whenCreateTableIfNotExists_thenNoErrorOnSecondCreate"
"","678","Test Bulk CRUD","End To End Tests","Thu Jun 04 17:24:26 UTC 2026","passed","Thu Jun 04 17:24:27 UTC 2026","Versioned Tests","Typescript Client","",""
"","261","testFindByIdsNoneFound()","Structures Core","Thu Jun 04 16:06:27 UTC 2026","passed","Thu Jun 04 16:06:27 UTC 2026","","org.kinotic.structures.tests.core.entity.EntityCrudTests","org.kinotic.structures.tests.core.entity.EntityCrudTests","testFindByIdsNoneFound"
"","1251","Test FindByIds and None Found","End To End Tests","Thu Jun 04 17:24:07 UTC 2026","passed","Thu Jun 04 17:24:08 UTC 2026","Admin EntityService Tests","Typescript Client","",""
"","19","testFrontendConfigurationEndpoint_ReturnsValidConfiguration()","Structures Core","Thu Jun 04 16:06:38 UTC 2026","passed","Thu Jun 04 16:06:38 UTC 2026","","org.kinotic.structures.tests.frontend.FrontendConfigurationIntegrationTest","org.kinotic.structures.tests.frontend.FrontendConfigurationIntegrationTest","testFrontendConfigurationEndpoint_ReturnsValidConfiguration"
"","5","testNonBearerAuthorizationHeader()","Structures Core","Thu Jun 04 16:05:57 UTC 2026","passed","Thu Jun 04 16:05:57 UTC 2026","","org.kinotic.structures.tests.auth.OidcAuthVerifierTest","org.kinotic.structures.tests.auth.OidcAuthVerifierTest","testNonBearerAuthorizationHeader"
"","1","testAuthorizeReadOperationWithNoFieldPolicies()","Structures Core","Thu Jun 04 16:06:32 UTC 2026","passed","Thu Jun 04 16:06:32 UTC 2026","","org.kinotic.structures.tests.core.security.graphos.PolicyAuthorizationServiceTest","org.kinotic.structures.tests.core.security.graphos.PolicyAuthorizationServiceTest","testAuthorizeReadOperationWithNoFieldPolicies"
"","63","Can get person by ID","End To End Tests","Thu Jun 04 17:24:03 UTC 2026","passed","Thu Jun 04 17:24:04 UTC 2026","PersonWithTenant CRUD Operations","OpenAPI Client","",""
"","477","testSearch()","Structures Core","Thu Jun 04 16:06:29 UTC 2026","passed","Thu Jun 04 16:06:29 UTC 2026","","org.kinotic.structures.tests.core.entity.EntityCrudTests","org.kinotic.structures.tests.core.entity.EntityCrudTests","testSearch"
"","225","findMissingEntity()","Structures Core","Thu Jun 04 16:06:29 UTC 2026","passed","Thu Jun 04 16:06:29 UTC 2026","","org.kinotic.structures.tests.core.entity.EntityCrudTests","org.kinotic.structures.tests.core.entity.EntityCrudTests","findMissingEntity"
